0.122	788.000
0.367	713.000
0.612	678.000
0.856	644.000
1.101	568.000
1.345	531.000
1.590	487.000
1.834	464.000
2.079	395.000
2.324	388.000
2.568	357.000
2.813	282.000
3.057	307.000
3.302	257.000
3.546	254.000
3.791	228.000
4.036	201.000
4.280	187.000
4.525	187.000
4.769	141.000
5.014	155.000
5.258	145.000
5.503	128.000
5.748	112.000
5.992	109.000
6.237	101.000
6.481	102.000
6.726	96.000
6.970	68.000
7.215	75.000
7.460	69.000
7.704	59.000
7.949	51.000
8.193	59.000
8.438	42.000
8.682	33.000
8.927	31.000
9.172	46.000
9.416	32.000
9.661	36.000
9.905	37.000
10.150	30.000
10.394	23.000
10.639	17.000
10.884	20.000
11.128	30.000
11.373	25.000
11.617	25.000
11.862	11.000
12.106	10.000
12.351	11.000
12.596	12.000
12.840	13.000
13.085	13.000
13.329	7.000
13.574	10.000
13.818	2.000
14.063	6.000
14.308	6.000
14.552	7.000
14.797	7.000
15.041	3.000
15.286	5.000
15.530	7.000
15.775	3.000
16.020	4.000
16.264	4.000
16.509	4.000
16.753	3.000
16.998	5.000
17.242	7.000
17.487	1.000
17.732	1.000
17.976	3.000
18.221	2.000
18.465	1.000
18.710	0.000
18.954	1.000
19.199	2.000
19.444	0.000
19.688	2.000
19.933	0.000
20.177	1.000
20.422	1.000
20.666	0.000
20.911	1.000
21.156	4.000
21.400	0.000
21.645	1.000
21.889	1.000
22.134	0.000
22.378	0.000
22.623	0.000
22.868	0.000
23.112	1.000
23.357	0.000
23.601	2.000
23.846	0.000
24.090	0.000
24.335	2.000
